baselinefs,initialfs,steadyfs,contrasts,ISIhist,ISIbins,spikeISI
133.40245399232992,36.705528268233536,99.56138849788415,-0.5,0.0,0.2,1.3570095000000002
133.7309386377101,36.617611191142366,101.07691616234547,-0.47435897435897434,0.0,0.4,9.704673999999999
133.2224917412002,41.41355410679696,103.35409581106505,-0.44871794871794873,0.0,0.6000000000000001,6.003739
133.2816230580258,41.158152630120924,104.5787663583163,-0.4230769230769231,0.0,0.8,6.209346499999998
134.21664580680078,42.85572961072193,106.77288205002178,-0.39743589743589747,2.0,1.0,6.7439260000000045
133.93933961913652,44.30495319346308,108.06770107854726,-0.3717948717948718,3.0,1.2000000000000002,6.127103499999998
134.0272181319665,46.54926631340396,110.22065052720379,-0.34615384615384615,2.0,1.4000000000000001,5.0168230000000005
134.10349914091063,50.82358375699785,112.31624620345156,-0.3205128205128205,1.0,1.6,5.921496000000004
134.4802456026888,51.29725844275705,113.69828953200633,-0.2948717948717949,0.0,1.8,8.05981399999999
134.3246502239119,54.34148201813913,116.10664791270453,-0.2692307692307693,8.0,2.0,3.9887855000000054
134.00510356093753,60.84734057144987,117.629020352244,-0.2435897435897436,23.0,2.2,9.005608500000001
134.12780324893143,62.48839003460094,119.43516929082935,-0.21794871794871795,12.0,2.4000000000000004,6.003739
133.4988007821979,71.14835120936021,121.21187783669855,-0.1923076923076923,2.0,2.6,3.9887854999999943
134.55868520238235,71.98125418074775,123.13734229780873,-0.16666666666666669,7.0,2.8000000000000003,3.906542500000003
134.53498201398696,76.43253972160025,125.13671218019348,-0.14102564102564102,22.0,3.0,8.142057000000005
134.53151920927928,84.55929954311166,126.93938626025711,-0.11538461538461542,46.0,3.2,5.140187499999993
133.94290417654256,94.86984807430385,128.1742086335786,-0.08974358974358976,20.0,3.4000000000000004,5.674766999999991
134.24599233510367,98.60731636279759,130.4159885459246,-0.0641025641025641,6.0,3.6,7.15514100000001
134.79400731788596,187.11909301350386,133.04727939717102,-0.03846153846153849,12.0,3.8000000000000003,3.8242994999999893
134.76745141419752,171.44406431446248,134.3172557775736,-0.01282051282051283,53.0,4.0,9.293459000000004
134.09689824033177,180.7270031893343,135.51978608981605,0.012820512820512775,60.0,4.2,3.8242995000000124
134.12125102679593,184.14278978274902,137.5568662041008,0.038461538461538436,25.0,4.4,7.977570999999989
135.01104312653283,193.29283886537294,140.20137116842565,0.0641025641025641,8.0,4.6000000000000005,5.016823000000018
135.30283781759297,216.79925025260857,142.32713845310508,0.08974358974358976,20.0,4.800000000000001,2.2205609999999836
134.7800181972729,255.17710304425103,143.4689331825759,0.11538461538461542,56.0,5.0,12.13084250000001
134.95673174197032,251.86412791403603,145.01957591998647,0.14102564102564097,88.0,5.2,2.5084114999999976
134.38974385848027,309.6161341936334,146.43416288381843,0.16666666666666663,35.0,5.4,9.499066500000003
135.21012823172993,312.6898973542844,149.23239813121958,0.1923076923076923,15.0,5.6000000000000005,3.700935000000003
134.85256227525872,323.84691762963257,150.84069936396497,0.21794871794871795,40.0,5.800000000000001,5.181309
135.51217415038457,404.06220709778637,154.06622944878362,0.2435897435897436,75.0,6.0,6.168224999999982
135.7012308121482,383.7316316892131,155.64640081827608,0.26923076923076916,100.0,6.2,7.525234500000015
135.62689244914415,448.88039524303144,157.10515769912848,0.2948717948717948,38.0,6.4,4.112150000000003
135.06995976201242,456.3690714524519,158.15649035506155,0.3205128205128205,20.0,6.6000000000000005,7.072897999999997
135.39423969005935,483.6012671016407,160.64683372181497,0.34615384615384615,47.0,6.800000000000001,5.016822999999972
134.6369397856786,531.869793920413,161.70504961493486,0.3717948717948718,84.0,7.0,8.882244000000025
135.26464814909397,545.4932452249789,163.76398740757648,0.39743589743589736,74.0,7.2,5.263552000000013
134.95072383544826,575.6174699741632,165.59201365983031,0.423076923076923,16.0,7.4,5.715888499999964
135.60122195052057,605.6898489550459,168.61389095981843,0.4487179487179487,12.0,7.6000000000000005,6.168225000000005
135.32620127562217,664.9712129363869,170.06572305352654,0.47435897435897434,25.0,7.800000000000001,6.743926000000033
134.1350426384247,620.4657783847673,168.66877102592858,0.5,73.0,8.0,5.3869165
,,,,43.0,8.200000000000001,4.64672949999999
,,,,17.0,8.4,5.304673500000009
,,,,6.0,8.6,9.745795499999977
,,,,13.0,8.8,4.029907000000012
,,,,42.0,9.0,9.046730000000007
,,,,29.0,9.200000000000001,2.9607479999999935
,,,,13.0,9.4,7.977570999999989
,,,,2.0,9.600000000000001,6.250467999999996
,,,,10.0,9.8,5.674767000000013
,,,,21.0,10.0,8.142056999999971
,,,,9.0,10.200000000000001,4.029907000000012
,,,,1.0,10.4,3.9476640000000214
,,,,1.0,10.600000000000001,4.934580000000004
,,,,3.0,10.8,5.099065999999986
,,,,6.0,11.0,9.087851500000003
,,,,2.0,11.200000000000001,5.016822999999995
,,,,0.0,11.4,7.854206500000002
,,,,1.0,11.600000000000001,5.880374499999991
,,,,1.0,11.8,4.23551449999999
,,,,1.0,12.0,6.0037390000000235
,,,,1.0,12.200000000000001,5.962617499999982
,,,,0.0,12.4,6.94953350000001
,,,,1.0,12.600000000000001,7.977570999999989
,,,,0.0,12.8,6.085982000000014
,,,,0.0,13.0,5.921495999999987
,,,,0.0,13.200000000000001,5.140187500000027
,,,,0.0,13.4,5.880374499999991
,,,,0.0,13.600000000000001,3.947663999999976
,,,,0.0,13.8,7.401870000000006
,,,,0.0,14.0,6.579440000000005
,,,,0.0,14.200000000000001,6.127103499999964
,,,,0.0,14.4,4.728972500000027
,,,,0.0,14.600000000000001,5.140187499999981
,,,,0.0,14.8,9.170094499999994
,,,,0.0,15.0,5.880374500000083
,,,,0.0,15.200000000000001,2.056074999999956
,,,,0.0,15.4,7.895328000000043
,,,,0.0,15.600000000000001,6.949533499999965
,,,,0.0,15.8,6.0859819999999685
,,,,0.0,16.0,5.140187499999981
,,,,0.0,16.2,3.988785500000017
,,,,0.0,16.400000000000002,6.743925999999988
,,,,0.0,16.6,10.033646000000081
,,,,0.0,16.8,2.9607479999999478
,,,,0.0,17.0,5.222430499999972
,,,,0.0,17.2,6.785047500000074
,,,,0.0,17.400000000000002,6.003738999999977
,,,,0.0,17.6,7.114019499999946
,,,,0.0,17.8,6.867290500000065
,,,,0.0,18.0,5.181308999999977
,,,,0.0,18.2,4.646729500000036
,,,,0.0,18.400000000000002,7.237383999999933
,,,,0.0,18.6,5.016822999999995
,,,,0.0,18.8,8.964487000000016
,,,,0.0,19.0,5.962617499999982
,,,,0.0,19.200000000000003,3.1252340000000207
,,,,0.0,19.400000000000002,6.044860499999973
,,,,0.0,19.6,7.0317765000000465
