baselinefs,initialfs,steadyfs,contrasts,ISIhist,ISIbins,spikeISI
135.1791105339372,0.0,0.0,-0.5,0.0,0.2,1.894452500000001
135.20326953859754,0.0,0.0,-0.47435897435897434,0.0,0.4,3.063370000000001
135.1270701594183,0.0,0.0,-0.44871794871794873,0.0,0.6000000000000001,6.287969999999998
135.11941096302618,0.0,0.0,-0.4230769230769231,0.0,0.8,5.8042799999999986
135.0691088916435,0.0,0.0,-0.39743589743589747,0.0,1.0,4.030750000000004
135.29261810144874,0.0,0.0,-0.3717948717948718,0.0,1.2000000000000002,8.948265
135.1655297555878,0.0,0.0,-0.34615384615384615,0.0,1.4000000000000001,5.038437499999999
135.40799333830714,0.0,0.0,-0.3205128205128205,0.0,1.6,3.788905000000002
135.18431124477124,0.0,0.0,-0.2948717948717949,0.0,1.8,8.303345000000002
134.99818810730036,0.0,0.0,-0.2692307692307693,1.0,2.0,4.8772075
134.91314210455016,0.0,0.0,-0.2435897435897436,4.0,2.2,4.9578225000000025
135.1282827186201,0.0,0.0,-0.21794871794871795,5.0,2.4000000000000004,7.053812499999995
135.11593081704962,0.0,0.0,-0.1923076923076923,2.0,2.6,6.811967499999999
135.1638615956105,3.5450766465163537,4.266659743128957,-0.16666666666666669,1.0,2.8000000000000003,5.441512500000004
135.39757883988236,10.462738723577832,24.337794482528313,-0.14102564102564102,17.0,3.0,5.602742499999998
135.54713471320989,16.127522564653155,44.137807302735865,-0.11538461538461542,33.0,3.2,4.272594999999999
135.70758354509886,22.923101902599896,64.57660700172042,-0.08974358974358976,16.0,3.4000000000000004,5.884895
135.7492220024044,34.05256588699924,85.03034488676867,-0.0641025641025641,3.0,3.6,5.038437500000004
135.80508064855172,55.48904174211648,105.84127353819416,-0.03846153846153849,9.0,3.8000000000000003,7.940577499999998
136.2534120881243,98.56212597010679,126.41036495495523,-0.01282051282051283,68.0,4.0,6.892582500000001
136.43293822699908,175.33928683815128,146.98873049762278,0.012820512820512775,90.0,4.2,4.998129999999986
136.65347479911387,259.69291531345743,167.463731433884,0.038461538461538436,26.0,4.4,6.086432500000001
136.64468587846915,333.04655762112094,188.25910685806826,0.0641025641025641,3.0,4.6000000000000005,7.13442750000002
136.65784594471353,384.82663896359225,208.4597093741406,0.08974358974358976,36.0,4.800000000000001,4.8772075
136.80201215906558,445.4855257400357,228.74322868078482,0.11538461538461542,107.0,5.0,3.143984999999989
136.6457692098718,495.10723643826464,249.03623631089442,0.14102564102564097,121.0,5.2,8.706420000000003
136.91149151590284,543.4781830902668,269.05633202480504,0.16666666666666663,25.0,5.4,2.2572199999999976
136.79099553734903,569.4352581153139,289.03135946179736,0.1923076923076923,7.0,5.6000000000000005,9.83502999999999
136.85029049243045,599.5234546784204,308.7542298677348,0.21794871794871795,27.0,5.800000000000001,4.111365000000017
136.72953989714247,609.5027997205113,328.0369461338971,0.2435897435897436,129.0,6.0,7.053812499999983
136.91721753646377,623.0281682430024,347.3037982527367,0.26923076923076916,127.0,6.2,6.932890000000019
137.10633984332665,639.2831465982715,366.24266199953456,0.2948717948717948,34.0,6.4,6.771659999999993
137.11559862410658,652.0819380916064,385.1525243330328,0.3205128205128205,5.0,6.6000000000000005,5.199667499999987
136.99497668838663,661.3913104932485,403.30808923221167,0.34615384615384615,24.0,6.800000000000001,5.925202500000019
137.0074137899269,675.3949547257305,421.22579861586627,0.3717948717948718,103.0,7.0,5.078744999999977
137.1917031088091,682.5035746930802,438.8025491649736,0.39743589743589736,89.0,7.2,4.030750000000004
137.05516012870083,684.4756010908606,456.319786904676,0.423076923076923,17.0,7.4,8.061500000000008
137.05393937874243,693.4786667726149,473.05878287048097,0.4487179487179487,3.0,7.6000000000000005,4.8772075
137.171049526825,696.0584511891634,489.60304425759546,0.47435897435897434,28.0,7.800000000000001,5.038437500000026
137.15617858840235,706.7784310609817,505.60622624728455,0.5,75.0,8.0,5.9252024999999735
,,,,49.0,8.200000000000001,6.207354999999987
,,,,5.0,8.4,9.633492500000013
,,,,3.0,8.6,3.224600000000003
,,,,8.0,8.8,5.038437499999982
,,,,26.0,9.0,6.81196750000001
,,,,7.0,9.200000000000001,8.222730000000034
,,,,4.0,9.4,3.829212499999981
,,,,1.0,9.600000000000001,3.1036775000000163
,,,,7.0,9.8,7.134427499999974
,,,,8.0,10.0,5.884895000000023
,,,,3.0,10.200000000000001,7.980884999999971
,,,,0.0,10.4,3.7485975000000344
,,,,0.0,10.600000000000001,4.393517499999963
,,,,1.0,10.8,10.641180000000036
,,,,1.0,11.0,4.15167249999999
,,,,3.0,11.200000000000001,6.086432500000001
,,,,0.0,11.4,6.81196750000001
,,,,0.0,11.600000000000001,4.353209999999968
,,,,0.0,11.8,4.957822499999991
,,,,2.0,12.0,8.625805000000033
,,,,0.0,12.200000000000001,6.167047499999992
,,,,0.0,12.4,4.998129999999986
,,,,0.0,12.600000000000001,3.990442500000008
,,,,0.0,12.8,10.036567500000013
,,,,0.0,13.0,4.15167249999999
,,,,0.0,13.200000000000001,4.756285000000013
,,,,0.0,13.4,7.134427499999974
,,,,0.0,13.600000000000001,4.917514999999995
,,,,0.0,13.8,5.965509999999969
,,,,0.0,14.0,6.932890000000042
,,,,0.0,14.200000000000001,3.385829999999985
,,,,0.0,14.4,7.57781000000006
,,,,0.0,14.600000000000001,4.998129999999986
,,,,0.0,14.8,5.280282499999955
,,,,0.0,15.0,3.9501350000000124
,,,,0.0,15.200000000000001,5.8445874999999825
,,,,0.0,15.4,8.182422499999994
,,,,0.0,15.600000000000001,5.965510000000059
,,,,0.0,15.8,3.9501350000000124
,,,,0.0,16.0,8.827342499999922
,,,,0.0,16.2,3.42613750000007
,,,,0.0,16.400000000000002,7.940577499999931
,,,,0.0,16.6,4.836900000000004
,,,,0.0,16.8,6.126740000000041
,,,,0.0,17.0,3.909827500000017
,,,,0.0,17.2,7.779347499999949
,,,,0.0,17.400000000000002,5.562435000000014
,,,,0.0,17.6,4.756285000000013
,,,,0.0,17.8,5.723664999999996
,,,,0.0,18.0,5.038437499999982
,,,,0.0,18.2,9.875337499999986
,,,,0.0,18.400000000000002,3.990442500000008
,,,,0.0,18.6,4.312902500000062
,,,,0.0,18.8,5.884894999999978
,,,,0.0,19.0,6.973197499999948
,,,,0.0,19.200000000000003,7.980885000000016
,,,,0.0,19.400000000000002,6.005817500000054
,,,,0.0,19.6,6.368584999999925
,,,,0.0,19.8,3.8695200000000214
,,,,0.0,20.0,5.804279999999987
,,,,,,7.174735000000015
,,,,,,4.756285000000013
,,,,,,6.086432500000045
,,,,,,6.167047499999947
,,,,,,4.836900000000004
,,,,,,5.965509999999969
,,,,,,5.965510000000059
,,,,,,7.0135049999999435
