baselinefs,initialfs,steadyfs,contrasts,ISIhist,ISIbins,spikeISI
260.9324017489676,0.0,0.0,-0.5,0.0,0.2,1.8917775000000001
260.96778727540743,0.20952087971565955,0.20952087971565947,-0.47435897435897434,0.0,0.4,1.1350664999999989
261.1528564575791,3.742108623346036,11.234650352379202,-0.44871794871794873,0.0,0.6000000000000001,4.0778315
260.5956846744019,5.183760862286813,25.13394975039658,-0.4230769230769231,0.0,0.8,1.8917775000000017
260.7625696030995,6.573364222779239,39.29334318231548,-0.39743589743589747,115.0,1.0,1.050987499999998
261.1544040117165,7.845281757237789,52.99083477122347,-0.3717948717948718,518.0,1.2000000000000002,5.927569500000001
261.06618579808986,9.243217390781385,67.56748357004045,-0.34615384615384615,50.0,1.4000000000000001,4.0778315
260.850807472694,10.806157454927522,80.96561426324247,-0.3205128205128205,1.0,1.6,1.975856500000004
260.8050290461963,12.521030292239258,95.69145167137603,-0.2948717948717949,13.0,1.8,2.0599354999999946
260.9826964060745,14.412374555346451,110.71373409582425,-0.2692307692307693,167.0,2.0,2.9848045000000036
261.4435434186439,16.643654592051675,124.83216534802916,-0.2435897435897436,191.0,2.2,5.969609000000002
261.20979581308484,19.33757268927481,139.58008915309665,-0.21794871794871795,30.0,2.4000000000000004,2.0178959999999995
261.05896523834497,22.626197475788025,154.06272648187377,-0.1923076923076923,0.0,2.6,4.9186215
261.1451838389049,26.330477103659614,168.62332558976314,-0.16666666666666669,34.0,2.8000000000000003,2.9427650000000023
261.56235660728663,31.989207730429897,183.5383618182164,-0.14102564102564102,209.0,3.0,1.0509874999999893
261.0480359696209,39.20078661242238,197.34661263891354,-0.11538461538461542,183.0,3.2,1.1350665000000033
261.49311446999485,48.72959211076634,212.16105126602716,-0.08974358974358976,21.0,3.4000000000000004,4.035791999999999
261.52367408232806,67.02858730811627,227.19564978932118,-0.0641025641025641,2.0,3.6,4.077831500000006
261.8369162670195,428.8770690626856,241.6860392117774,-0.03846153846153849,32.0,3.8000000000000003,2.984804499999998
261.8670030168555,437.46795182010925,256.27462638146847,-0.01282051282051283,233.0,4.0,2.7325675000000023
262.08118158562576,507.45171820949395,271.55855755343623,0.012820512820512775,115.0,4.2,6.179806499999996
262.03628706027126,513.1046206945562,285.94494116490455,0.038461538461538436,21.0,4.4,2.8166465000000045
262.32329626360655,615.0469015471655,300.6434201445487,0.0641025641025641,3.0,4.6000000000000005,3.1109229999999957
262.37452995777176,760.9344676337092,314.79191338102873,0.08974358974358976,47.0,4.800000000000001,3.0688835
262.18990386202324,808.6395056301492,330.34007738247516,0.11538461538461542,152.0,5.0,3.026844000000005
262.32965459777205,846.4543266717297,345.3278296547393,0.14102564102564097,119.0,5.2,4.708423999999995
262.2296790415891,871.7529024920418,360.15207181925535,0.16666666666666663,15.0,5.4,1.1771059999999987
262.4875147664526,870.3371700763074,375.0905993041348,0.1923076923076923,0.0,5.6000000000000005,0.9669084999999985
262.4242358898338,886.2106868643601,389.7356692855088,0.21794871794871795,17.0,5.800000000000001,2.1019750000000017
262.5773568713218,880.0828439089202,404.5765098474065,0.2435897435897436,115.0,6.0,7.861386499999997
262.4727254703065,900.2915088132291,420.3137241866141,0.26923076923076916,65.0,6.2,2.0599355000000066
262.37135493289236,908.9173724825712,434.56975544128903,0.2948717948717948,6.0,6.4,2.984804499999998
262.52600961160067,906.8580646406642,449.8301464970103,0.3205128205128205,1.0,6.6000000000000005,1.0089480000000055
262.59787869285555,913.0542363814556,465.037119852181,0.34615384615384615,8.0,6.800000000000001,5.254937500000004
262.3835518444187,925.8033994990509,480.08062294594106,0.3717948717948718,57.0,7.0,3.909673499999989
262.7127298277339,938.7973331016768,495.1311966007305,0.39743589743589736,27.0,7.2,1.8917775000000017
262.62032085512044,975.0553359683774,509.9000492400972,0.423076923076923,2.0,7.4,1.0089480000000055
262.4249079470936,993.4575569358178,525.244339625992,0.4487179487179487,1.0,7.6000000000000005,7.693228499999993
262.6432937328504,997.7625882889037,540.5344259561606,0.47435897435897434,7.0,7.800000000000001,2.228093500000011
262.493898889221,1003.68421052632,555.0939826456955,0.5,19.0,8.0,3.99375249999998
,,,,10.0,8.200000000000001,1.0509875000000009
,,,,1.0,8.4,0.9669085000000102
,,,,0.0,8.6,8.029544500000002
,,,,0.0,8.8,1.8917775000000017
,,,,7.0,9.0,2.1440144999999973
,,,,0.0,9.200000000000001,1.0089480000000055
,,,,1.0,9.4,7.819347000000002
,,,,0.0,9.600000000000001,1.1350664999999915
,,,,1.0,9.8,4.161910500000008
,,,,0.0,10.0,1.8497379999999828
,,,,1.0,10.200000000000001,1.9338170000000203
,,,,0.0,10.4,5.128818999999995
,,,,0.0,10.600000000000001,4.918621499999995
,,,,0.0,10.8,1.1350664999999915
,,,,0.0,11.0,2.8586860000000116
,,,,0.0,11.200000000000001,3.9937525000000034
,,,,0.0,11.4,5.927569500000001
,,,,0.0,11.600000000000001,0.9248689999999914
,,,,0.0,11.8,2.3542119999999973
,,,,0.0,12.0,2.8586860000000116
,,,,0.0,12.200000000000001,3.9937525000000034
,,,,0.0,12.4,3.909673499999989
,,,,0.0,12.600000000000001,0.9669085000000102
,,,,0.0,12.8,5.128818999999995
,,,,0.0,13.0,1.0089479999999822
,,,,0.0,13.200000000000001,4.960661000000013
,,,,0.0,13.4,1.0089479999999822
,,,,0.0,13.600000000000001,4.960661000000013
,,,,0.0,13.8,3.909673499999989
,,,,0.0,14.0,1.0509875000000242
,,,,0.0,14.200000000000001,5.128818999999995
,,,,0.0,14.4,2.900725500000007
,,,,0.0,14.600000000000001,5.002700500000009
,,,,0.0,14.8,1.0509874999999775
,,,,0.0,15.0,2.900725500000007
,,,,0.0,15.200000000000001,4.035791999999976
,,,,0.0,15.4,1.0930270000000195
,,,,0.0,15.600000000000001,2.1019750000000017
,,,,0.0,15.8,6.852438499999992
,,,,0.0,16.0,3.0268439999999934
,,,,0.0,16.2,2.9427650000000023
,,,,0.0,16.400000000000002,1.1350665000000149
,,,,0.0,16.6,5.927569500000001
,,,,0.0,16.8,2.900725500000007
